clients,orders,restaurants,deliverymen,cpu_jason,memory_jason,time_jason,cpu_jade,memory_jade,time_jade,cpu_astra,memory_astra,time_astra
100.0,10.0,25.0,25.0,23044,13.383999999999999,26.0,3.54758064516129,17.080645161290324,125.0,0.0,0.0,0.0
100.0,10.0,50.0,25.0,23.411538461538463,13.442307692307692,27.0,3.967741935483871,17.495967741935484,125.0,0.0,0.0,0.0
200.0,1.0,1.0,,19.966666666666665,10.344444444444443,10.0,,,,,,
200.0,1.0,10.0,,17.880000000000003,10.120000000000001,11.0,,,,,,
200.0,1.0,25.0,,15.13529411764706,11.935294117647059,18.0,,,,,,
200.0,1.0,50.0,,21.664285714285715,12.142857142857142,15.0,,,,,,
200.0,5.0,1.0,,29.91818181818182,12.29090909090909,12.0,,,,,,
200.0,5.0,10.0,,24.51111111111111,14.011111111111113,19.0,,,,,,
200.0,5.0,25.0,,24.6875,14.6875,25.0,,,,,,
200.0,5.0,50.0,,22.063333333333333,14.82,31.0,,,,,,
200.0,10.0,1.0,,27.547619047619047,14.385714285714286,22.0,,,,,,
200.0,10.0,10.0,,29.804166666666664,14.487499999999999,25.0,,,,,,
200.0,10.0,25.0,,24275,15.11875,33.0,,,,,,
200.0,10.0,50.0,,25.521212121212123,15.324242424242424,34.0,,,,,,
1.0,1.0,1.0,50.0,17.05,10.0,3.0,3.1000000000000005,8.507692307692308,14.0,0.0,0.0,0.0
1.0,1.0,10.0,50.0,10.8,10.0,3.0,2.423076923076923,8.561538461538461,14.0,0.0,0.0,0.0
1.0,1.0,25.0,50.0,11.399999999999999,10.1,3.0,2.1384615384615384,8.592307692307692,14.0,0.0,0.0,0.0
1.0,1.0,50.0,50.0,12.850000000000001,10.149999999999999,3.0,2.4461538461538463,8.692307692307692,14.0,0.0,0.0,0.0
1.0,5.0,1.0,50.0,6.5,10.166666666666666,7.0,1.7153846153846155,8.523076923076923,14.0,0.0,0.0,0.0
1.0,5.0,10.0,50.0,3.96,10.169999999999998,11.0,2.1,8.607692307692307,14.0,0.0,0.0,0.0
1.0,5.0,25.0,50.0,4.266666666666667,10.308333333333334,13.0,1.953846153846154,8.653846153846153,14.0,0.0,0.0,0.0
1.0,5.0,50.0,50.0,3.858333333333333,10.299999999999999,13.0,2.1153846153846154,8.707692307692307,14.0,0.0,0.0,0.0
1.0,10.0,1.0,50.0,3.6363636363636362,10.227272727272727,12.0,1.9307692307692308,8.569230769230769,14.0,0.0,0.0,0.0
1.0,10.0,10.0,50.0,3.023529411764706,10.288235294117648,18.0,1.9785714285714284,8.607142857142858,15.0,0.0,0.0,0.0
1.0,10.0,25.0,50.0,3.2333333333333334,10.32,16.0,2.3923076923076922,8.8,14.0,0.0,0.0,0.0
1.0,10.0,50.0,50.0,2.923529411764706,10.33529411764706,18.0,2.553846153846154,8.815384615384616,14.0,0.0,0.0,0.0
50.0,1.0,1.0,50.0,9.8,10.922222222222222,10.0,2.034782608695652,8.85217391304348,24.0,0.0,0.0,0.0
50.0,1.0,10.0,50.0,10375,10.9375,9.0,2.1136363636363638,8.936363636363636,23.0,0.0,0.0,0.0
50.0,1.0,25.0,50.0,14.88888888888889,11.333333333333334,10.0,2.778260869565217,9.378260869565219,24.0,0.0,0.0,0.0
50.0,1.0,50.0,50.0,12.075000000000001,11.541666666666666,13.0,2.904347826086956,9.35217391304348,24.0,0.0,0.0,0.0
50.0,5.0,1.0,50.0,12.881818181818181,11.872727272727273,12.0,2.1488372093023256,9.367441860465117,44.0,0.0,0.0,0.0
50.0,5.0,10.0,50.0,12.984615384615383,12.292307692307693,14.0,3.03953488372093,10.169767441860465,44.0,0.0,0.0,0.0
50.0,5.0,25.0,50.0,12.39375,12.5875,17.0,3.4023255813953486,11.655813953488373,44.0,0.0,0.0,0.0
50.0,5.0,50.0,50.0,14375,12675,17.0,4.225581395348837,11.811627906976746,44.0,0.0,0.0,0.0
50.0,10.0,1.0,50.0,14.879999999999999,12.526666666666667,16.0,2.2705882352941176,10.047058823529412,69.0,0.0,0.0,0.0
50.0,10.0,10.0,50.0,12525,12.760000000000002,21.0,2.7558823529411764,11.783823529411766,69.0,0.0,0.0,0.0
50.0,10.0,25.0,50.0,12.819047619047618,12.804761904761907,22.0,3.7779411764705877,14.691176470588236,69.0,0.0,0.0,0.0
50.0,10.0,50.0,50.0,15.169999999999998,14135,21.0,5.041176470588235,16.349999999999998,69.0,0.0,0.0,0.0
100.0,1.0,1.0,50.0,11.555555555555555,11.466666666666667,10.0,3.6999999999999997,9.860606060606061,34.0,0.0,0.0,0.0
100.0,1.0,10.0,50.0,14.3,11.64,11.0,2.509090909090909,10.42121212121212,34.0,0.0,0.0,0.0
100.0,1.0,25.0,50.0,16.355555555555554,11.711111111111112,10.0,2.878787878787879,10.909090909090908,34.0,0.0,0.0,0.0
100.0,1.0,50.0,50.0,14.958333333333334,12.508333333333333,13.0,3.3878787878787877,11.212121212121213,34.0,0.0,0.0,0.0
100.0,5.0,1.0,50.0,28.866666666666664,12.033333333333333,7.0,2.736986301369863,11.19041095890411,74.0,0.0,0.0,0.0
100.0,5.0,10.0,50.0,20.123076923076926,14.138461538461538,14.0,2.9904109589041097,12.787671232876713,74.0,0.0,0.0,0.0
100.0,5.0,25.0,50.0,18.61176470588235,14.941176470588236,18.0,3.595890410958904,15.860273972602743,74.0,0.0,0.0,0.0
100.0,5.0,50.0,50.0,18175,15.25,21.0,3.9040540540540536,17.613513513513514,75.0,0.0,0.0,0.0
100.0,10.0,1.0,50.0,16.12608695652174,15.391304347826088,24.0,2.846774193548387,12.721774193548388,125.0,0.0,0.0,0.0
100.0,10.0,10.0,50.0,16.87727272727273,15.336363636363638,23.0,3.5588709677419357,17.330645161290324,125.0,0.0,0.0,0.0
100.0,10.0,25.0,50.0,20.056521739130435,16.47391304347826,24.0,4.717741935483871,17.842741935483872,125.0,0.0,0.0,0.0
100.0,10.0,50.0,50.0,22.963636363636365,16.477272727272727,23.0,4.632258064516129,17.962903225806453,125.0,0.0,0.0,0.0
200.0,1.0,1.0,,12.36153846153846,13.207692307692307,14.0,,,,,,
200.0,1.0,10.0,,19.68,13.030000000000001,11.0,,,,,,
200.0,1.0,25.0,,18.323076923076922,13.899999999999999,14.0,,,,,,
200.0,1.0,50.0,,20.885714285714283,14.62857142857143,15.0,,,,,,
200.0,5.0,1.0,,23.74285714285714,16.12857142857143,15.0,,,,,,
200.0,5.0,10.0,,22.252380952380953,17.18095238095238,22.0,,,,,,
200.0,5.0,25.0,,26.299999999999997,16.86111111111111,19.0,,,,,,
200.0,5.0,50.0,,29.48,17125,21.0,,,,,,
200.0,10.0,1.0,,28.200000000000003,17.195238095238093,22.0,,,,,,
200.0,10.0,10.0,,29.59130434782609,17.343478260869563,24.0,,,,,,
