clients,orders,restaurants,cpu_jason,memory_jason,time_jason,cpu_jade,memory_jade,time_jade,cpu_astra,memory_astra,time_astra
50.0,3.0,25.0,83.06666666666666,11.133333333333333,7.0,1.6647058823529413,6.852941176470588,18.0,34.96666666666667,5.766666666666667,4.0
50.0,3.0,50.0,83.48333333333333,11.049999999999999,7.0,1.8588235294117648,7.0,18.0,38.56666666666667,6.066666666666666,4.0
50.0,5.0,1.0,66.73333333333333,11.25,7.0,2.7529411764705882,6.852941176470588,18.0,32.53333333333333,5.966666666666666,4.0
50.0,5.0,10.0,84.64999999999999,11.35,7.0,1.5529411764705883,6.9411764705882355,18.0,36.13333333333333,5.8,4.0
50.0,5.0,25.0,84.25,11.066666666666668,7.0,1.511111111111111,7.066666666666666,19.0,35.86666666666667,6.166666666666667,4.0
50.0,5.0,50.0,84.41666666666667,11.283333333333333,7.0,2.023529411764706,7.117647058823529,18.0,40.03333333333334,6.133333333333333,4.0
50.0,10.0,1.0,53.88333333333333,11.283333333333333,7.0,1.5999999999999999,6.976470588235294,18.0,32.833333333333336,6.099999999999999,4.0
50.0,10.0,10.0,83.28333333333333,11.65,7.0,1.65,7.011111111111111,19.0,36.56666666666666,6.1000000000000005,4.0
50.0,10.0,25.0,85.08333333333333,11.25,7.0,1.9500000000000002,7.183333333333334,19.0,37.800000000000004,6.166666666666667,4.0
50.0,10.0,50.0,82.98571428571428,11.12857142857143,8.0,2.4388888888888887,7.333333333333333,19.0,38.96666666666666,6.166666666666667,4.0
100.0,1.0,1.0,60.86666666666667,8.433333333333334,4.0,2.3260869565217392,6.913043478260869,24.0,28.75,5.9,3.0
100.0,1.0,10.0,80.87142857142858,11.1,8.0,2.5826086956521737,7.647826086956522,24.0,35.833333333333336,6.0,4.0
100.0,1.0,25.0,78.07142857142857,11.485714285714286,8.0,2.1869565217391305,7.626086956521739,24.0,36.5,6.400000000000001,4.0
100.0,1.0,50.0,82.24285714285715,11.614285714285714,8.0,1.5130434782608697,7.895652173913043,24.0,38.03333333333333,6.3,4.0
100.0,3.0,1.0,67.26666666666667,8.466666666666667,4.0,2.4695652173913047,7.639130434782608,24.0,33.699999999999996,5.966666666666666,4.0
100.0,3.0,10.0,81.3,11.528571428571428,8.0,1.608695652173913,7.747826086956521,24.0,36.333333333333336,5.966666666666666,4.0
100.0,3.0,25.0,81.88571428571429,11.542857142857143,8.0,1.660869565217391,7.752173913043479,24.0,39.43333333333333,6.366666666666667,4.0
100.0,3.0,50.0,82.44285714285715,11.12857142857143,8.0,1.891304347826087,8.230434782608697,24.0,39.833333333333336,6.466666666666666,4.0
100.0,5.0,1.0,70.13333333333334,7.433333333333334,4.0,2.5695652173913044,7.756521739130435,24.0,33.93333333333334,6.366666666666667,4.0
100.0,5.0,10.0,82.38571428571427,11.228571428571428,8.0,1.8652173913043477,7.726086956521739,24.0,37.86666666666667,6.466666666666666,4.0
100.0,5.0,25.0,83.48571428571428,11.571428571428571,8.0,2.0478260869565217,8.108695652173912,24.0,38.93333333333334,6.733333333333333,4.0
100.0,5.0,50.0,84.0,11.642857142857142,8.0,2.2043478260869565,8.365217391304348,24.0,40.166666666666664,6.733333333333333,4.0
100.0,10.0,1.0,66.96666666666667,8.466666666666667,4.0,2.760869565217391,7.734782608695652,24.0,37.36666666666667,6.666666666666667,4.0
100.0,10.0,10.0,82.3125,10.8,9.0,2.965217391304348,8.23913043478261,24.0,38.96666666666667,6.766666666666667,4.0
100.0,10.0,25.0,82.62857142857142,11.528571428571428,8.0,3.104347826086957,8.4,24.0,38.1,6.766666666666667,4.0
100.0,10.0,50.0,84575,11875,9.0,4.304347826086956,8.665217391304349,24.0,44.25,6725,5.0
200.0,1.0,1.0,66.35,9.65,5.0,2.9434782608695653,6.92608695652174,24.0,34.03333333333333,6.833333333333333,4.0
200.0,1.0,10.0,82.21428571428571,11.471428571428572,8.0,1.7217391304347827,6.913043478260869,24.0,38.166666666666664,6.8,4.0
200.0,1.0,25.0,86225,11.2125,9.0,1.817391304347826,7.21304347826087,24.0,38.699999999999996,6.866666666666667,4.0
200.0,1.0,50.0,81.9,11.3875,9.0,2.052173913043478,7.31304347826087,24.0,38.333333333333336,6.866666666666667,4.0
200.0,3.0,1.0,82.75,11775,9.0,2.482608695652174,7.221739130434782,24.0,38.13333333333333,6.966666666666666,4.0
200.0,3.0,10.0,83.0125,12.1625,9.0,2.8869565217391306,7.360869565217392,24.0,40.03333333333334,6.866666666666667,4.0
200.0,3.0,25.0,84.35,12.2875,9.0,2.382608695652174,7.147826086956522,24.0,37.53333333333333,6.933333333333334,4.0
200.0,3.0,50.0,84.8875,11.8125,9.0,2.8869565217391306,7.7956521739130435,24.0,37.5,6.933333333333334,4.0
200.0,5.0,1.0,81.58888888888889,12.377777777777778,10.0,3.991304347826087,7.495652173913044,24.0,38.9,6.966666666666666,4.0
200.0,5.0,10.0,85.04444444444444,11.822222222222223,10.0,3.026086956521739,7.578260869565218,24.0,38.56666666666667,7.066666666666666,4.0
200.0,5.0,25.0,85.8125,12.1625,9.0,3.4695652173913043,7.826086956521739,24.0,39.733333333333334,7.166666666666667,4.0
200.0,5.0,50.0,85.80000000000001,11.677777777777777,10.0,4.130434782608695,7.886956521739131,24.0,40.43333333333333,7.166666666666667,4.0
200.0,10.0,1.0,83.95555555555556,11.88888888888889,10.0,4.743478260869566,7.752173913043479,24.0,39.36666666666667,7.233333333333333,4.0
200.0,10.0,10.0,80.96000000000001,11.52,11.0,4.591304347826087,7.882608695652174,24.0,38.96666666666667,7.166666666666667,4.0
200.0,10.0,25.0,86.28,11.709999999999999,11.0,5.282608695652174,8.08695652173913,24.0,46475,7.449999999999999,5.0
200.0,10.0,50.0,86.49,11.77,11.0,5.565217391304348,8.36086956521739,24.0,46.36666666666667,8.0,7.0
